D|1|return book|22/02/2023
D|0|return book|02/12/2023
E|1|project meeting|22/10/2023 0330|22/10/2023 0400
D|0|return book|22/10/2023
E|1|project closing|22/10/2023 0346|22/10/2023 0440
E|0|project meeting|22/10/2023 1551|22/10/2023 1640
E|0|project meeting|29/10/2023 1551|29/10/2023 1640
E|0|project meeting|05/11/2023 1551|05/11/2023 1640
E|0|project meeting|12/11/2023 1551|12/11/2023 1640
E|0|project meeting|19/11/2023 1551|19/11/2023 1640
E|0|project meeting|26/11/2023 1551|26/11/2023 1640
E|0|project meeting|03/12/2023 1551|03/12/2023 1640
E|0|project meeting|10/12/2023 1551|10/12/2023 1640
E|0|project meeting|17/12/2023 1551|17/12/2023 1640
E|0|project meeting|24/12/2023 1551|24/12/2023 1640
E|0|project meeting|31/12/2023 1551|31/12/2023 1640
E|0|project meeting|07/01/2024 1551|07/01/2024 1640
E|0|project meeting|14/01/2024 1551|14/01/2024 1640
E|0|project meeting|21/01/2024 1551|21/01/2024 1640
E|0|project meeting|28/01/2024 1551|28/01/2024 1640
E|0|project meeting|04/02/2024 1551|04/02/2024 1640
E|0|project meeting|11/02/2024 1551|11/02/2024 1640
E|0|project meeting|18/02/2024 1551|18/02/2024 1640
E|0|project meeting|25/02/2024 1551|25/02/2024 1640
E|0|project meeting|03/03/2024 1551|03/03/2024 1640
E|0|project meeting|10/03/2024 1551|10/03/2024 1640
E|0|project meeting|17/03/2024 1551|17/03/2024 1640
E|0|project meeting|24/03/2024 1551|24/03/2024 1640
E|0|project meeting|31/03/2024 1551|31/03/2024 1640
E|0|project meeting|07/04/2024 1551|07/04/2024 1640
